top - 02:44:52 up 1 day,  9:01,  3 users,  load average: 1.51, 1.13, 0.89
Tasks: 117 total,   2 running, 115 sleeping,   0 stopped,   0 zombie
%Cpu(s): 23.9 us,  0.7 sy,  0.0 ni, 75.4 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    948016 total,   832528 used,   115488 free,    99108 buffers
KiB Swap:   102396 total,        0 used,   102396 free,   617924 cached

  PID USER      PR  NI  VIRT  RES  SHR S  %CPU %MEM    TIME+  COMMAND
   29 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 bioset
   30 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kblockd
   31 root      20   0     0    0    0 S   0.0  0.0   0:11.46 kworker/1:1
   32 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 rpciod
   33 root      20   0     0    0    0 S   0.0  0.0   0:00.43 kswapd0
   34 root      20   0     0    0    0 S   0.0  0.0   0:00.00 fsnotify_mark
   35 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 nfsiod
   41 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kthrotld
   43 root       1 -19     0    0    0 S   0.0  0.0   0:00.00 VCHIQ-0
   44 root       1 -19     0    0    0 S   0.0  0.0   0:00.00 VCHIQr-0
   45 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 VCHIQs-0
   46 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 iscsi_eh
   47 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 dwc_otg
   48 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 DWC Notificatio
   50 root      20   0     0    0    0 S   0.0  0.0   0:08.50 kworker/2:1
   51 root      20   0     0    0    0 S   0.0  0.0   0:25.49 mmcqd/0
   52 root      20   0     0    0    0 S   0.0  0.0   0:00.00 VCHIQka-0
   53 root      10 -10     0    0    0 S   0.0  0.0   0:00.00 SMIO
   54 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 deferwq
   55 root      20   0     0    0    0 S   0.0  0.0   0:07.61 jbd2/mmcblk0p7-
   56 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 ext4-rsv-conver
   58 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/1:2
  173 root      20   0  2916 2180 1644 S   0.0  0.2   0:00.57 udevd
  391 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/0:1H
 1417 pi        20   0  101m  22m  18m S   0.0  2.4   1:01.90 vim.gtk
 1599 root      20   0  1780 1048  960 S   0.0  0.1   0:13.68 ifplugd
 1612 root      20   0  1780 1068  980 S   0.0  0.1   0:48.63 ifplugd
 1844 nobody    20   0  2048 1420 1304 S   0.0  0.1   0:06.11 thd
 1855 root      20   0 28004 2504 2176 S   0.0  0.3   0:00.77 rsyslogd
 1976 root      20   0  3824 1704 1540 S   0.0  0.2   0:00.39 cron
 1993 ntp       20   0  5552 3868 3428 S   0.0  0.4   0:17.85 ntpd
 2009 messageb  20   0  3316 1996 1724 S   0.0  0.2   0:00.18 dbus-daemon
 2064 root      20   0 31920 4944 4476 S   0.0  0.5   0:00.09 lightdm
 2105 root      20   0  3776 1724 1592 S   0.0  0.2   0:00.01 getty
 2106 root      20   0  3776 1664 1532 S   0.0  0.2   0:00.01 getty
 2107 root      20   0  3776 1768 1636 S   0.0  0.2   0:00.01 getty
 2108 root      20   0  3776 1724 1592 S   0.0  0.2   0:00.01 getty
 2109 root      20   0  3776 1712 1580 S   0.0  0.2   0:00.01 getty
 2110 root      20   0  3776 1728 1596 S   0.0  0.2   0:00.01 getty
 2111 root      20   0  2096 1476 1348 S   0.0  0.2   0:00.01 getty
 2112 root      20   0 45732  31m 9788 S   0.0  3.5  28:59.95 Xorg
 2121 root      20   0 16176 5168 4680 S   0.0  0.5   0:00.05 lightdm
 2123 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/1:1H
 2125 root      20   0 27764 5240 4332 S   0.0  0.6   0:00.11 console-kit-dae
 2192 root      20   0 32044 4976 4400 S   0.0  0.5   0:00.16 polkitd
 2205 pi        20   0 12896 3124 2876 S   0.0  0.3   0:00.38 lxsession
 2227 pi        20   0  3560  216    0 S   0.0  0.0   0:01.19 ssh-agent
 2230 pi        20   0  3404 1624 1428 S   0.0  0.2   0:00.00 dbus-launch
 2231 pi        20   0  3316 2008 1608 S   0.0  0.2   0:00.26 dbus-daemon
 2237 pi        20   0 17204  12m 7980 S   0.0  1.3   0:19.03 openbox
 2240 pi        20   0 90144  20m  17m S   0.0  2.2   4:01.65 lxpanel
 2243 pi        20   0  139m  24m  20m S   0.0  2.6   0:34.33 pcmanfm
 2246 pi        20   0 27404 8700 7944 S   0.0  0.9   0:00.09 lxpolkit
 2250 pi        20   0 44656 6536 5724 S   0.0  0.7   0:00.72 gvfs-gdu-volume
 2252 pi        20   0  8572 4236 3912 S   0.0  0.4   0:00.08 gvfsd
 2257 root      20   0 24356 5324 4716 S   0.0  0.6   0:00.38 udisks-daemon
 2258 root      20   0  6368 1740 1484 S   0.0  0.2   0:10.97 udisks-daemon
 2261 pi        20   0 20400 2912 2564 S   0.0  0.3   0:18.05 gvfs-afc-volume
 2264 pi        20   0  9096 4540 4100 S   0.0  0.5   0:00.05 gvfs-gphoto2-vo
 2269 pi        20   0 15000 5052 4568 S   0.0  0.5   0:07.08 menu-cached
 2272 pi        20   0 25672 5704 5168 S   0.0  0.6   0:00.21 gvfsd-trash
 2277 root      20   0     0    0    0 S   0.0  0.0   0:00.00 jbd2/mmcblk0p5-
 2278 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 ext4-rsv-conver
 2283 root      20   0     0    0    0 S   0.0  0.0   0:00.00 jbd2/mmcblk0p3-
 2284 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 ext4-rsv-conver
 2286 pi        20   0  152m  20m  16m S   0.0  2.2   5:57.06 lxterminal
 2287 pi        20   0  2072 1420 1292 S   0.0  0.1   0:00.01 gnome-pty-helpe
 2288 pi        20   0  6016 4296 2688 S   0.0  0.5   0:01.33 bash
 2353 root      20   0  4928 3520 1796 S   0.0  0.4   0:00.22 dhclient
 2398 root      20   0  6248 2956 2528 S   0.0  0.3   0:00.00 sshd
 2600 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/2:1H
 2617 pi        20   0  6020 4480 2868 S   0.0  0.5   0:09.38 bash
 2649 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/3:1H
 2692 pi        20   0  8152 5176 4808 S   0.0  0.5   0:00.05 gvfsd-metadata
 3970 root      20   0     0    0    0 S   0.0  0.0   0:00.00 scsi_eh_2
 3971 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 scsi_tmf_2
 3972 root      20   0     0    0    0 S   0.0  0.0   0:00.88 usb-storage
 3974 root      20   0     0    0    0 S   0.0  0.0   0:00.53 kworker/u8:1
 3976 root      20   0  2912 1924 1380 S   0.0  0.2   0:00.00 udevd
 3977 root      20   0  2912 1888 1344 S   0.0  0.2   0:00.00 udevd
 4019 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/2:0
 5668 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/3:1
12988 root      20   0     0    0    0 S   0.0  0.0   0:00.41 kworker/u8:0
17227 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/0:2
17275 pi        20   0  9052 6340 3996 S   0.0  0.7   0:01.09 lab1.py
17643 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/u8:2
17788 pi        20   0  1788  364  312 S   0.0  0.0   0:00.00 sh
17970 pi        20   0  1788  356  304 S   0.0  0.0   0:00.00 sh
19210 pi        20   0 48712 8840 7700 S   0.0  0.9   0:10.00 gvfsd-http
27163 root      20   0     0    0    0 S   0.0  0.0   0:03.05 kworker/0:0
28825 pi        20   0  6016 4424 2816 S   0.0  0.5   0:01.91 bash
32649 root      20   0     0    0    0 S   0.0  0.0   0:08.42 kworker/3:2
