top - 01:22:46 up 1 day,  7:39,  3 users,  load average: 1.02, 0.48, 0.26
Tasks: 115 total,   2 running, 113 sleeping,   0 stopped,   0 zombie
%Cpu(s): 24.5 us,  0.7 sy,  0.0 ni, 74.8 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    948016 total,   928496 used,    19520 free,   120372 buffers
KiB Swap:   102396 total,        0 used,   102396 free,   312168 cached

  PID USER      PR  NI  VIRT  RES  SHR S  %CPU %MEM    TIME+  COMMAND
   54 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 deferwq
   55 root      20   0     0    0    0 S   0.0  0.0   0:07.42 jbd2/mmcblk0p7-
   56 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 ext4-rsv-conver
   58 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/1:2
  173 root      20   0  2916 2180 1644 S   0.0  0.2   0:00.57 udevd
  391 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/0:1H
 1417 pi        20   0  101m  22m  18m S   0.0  2.4   0:47.42 vim.gtk
 1599 root      20   0  1780 1048  960 S   0.0  0.1   0:13.25 ifplugd
 1612 root      20   0  1780 1068  980 S   0.0  0.1   0:46.64 ifplugd
 1844 nobody    20   0  2048 1420 1304 S   0.0  0.1   0:05.73 thd
 1855 root      20   0 28004 2496 2176 S   0.0  0.3   0:00.71 rsyslogd
 1976 root      20   0  3824 1704 1540 S   0.0  0.2   0:00.39 cron
 1993 ntp       20   0  5552 3868 3428 S   0.0  0.4   0:17.25 ntpd
 2009 messageb  20   0  3316 1996 1724 S   0.0  0.2   0:00.18 dbus-daemon
 2064 root      20   0 31920 4944 4476 S   0.0  0.5   0:00.09 lightdm
 2105 root      20   0  3776 1724 1592 S   0.0  0.2   0:00.01 getty
 2106 root      20   0  3776 1676 1544 S   0.0  0.2   0:00.01 getty
 2107 root      20   0  3776 1768 1636 S   0.0  0.2   0:00.01 getty
 2108 root      20   0  3776 1724 1592 S   0.0  0.2   0:00.01 getty
 2109 root      20   0  3776 1712 1580 S   0.0  0.2   0:00.01 getty
 2110 root      20   0  3776 1728 1596 S   0.0  0.2   0:00.01 getty
 2111 root      20   0  2096 1476 1348 S   0.0  0.2   0:00.01 getty
 2112 root      20   0 45732  31m 9788 S   0.0  3.5  28:19.26 Xorg
 2121 root      20   0 16176 5168 4680 S   0.0  0.5   0:00.05 lightdm
 2123 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/1:1H
 2125 root      20   0 27764 5240 4332 S   0.0  0.6   0:00.11 console-kit-dae
 2192 root      20   0 32044 4976 4400 S   0.0  0.5   0:00.16 polkitd
 2205 pi        20   0 12896 3124 2876 S   0.0  0.3   0:00.33 lxsession
 2227 pi        20   0  3560  216    0 S   0.0  0.0   0:01.19 ssh-agent
 2230 pi        20   0  3404 1624 1428 S   0.0  0.2   0:00.00 dbus-launch
 2231 pi        20   0  3316 2008 1608 S   0.0  0.2   0:00.26 dbus-daemon
 2237 pi        20   0 17204  12m 8044 S   0.0  1.3   0:16.39 openbox
 2240 pi        20   0 90144  20m  17m S   0.0  2.3   3:49.22 lxpanel
 2243 pi        20   0  139m  28m  24m S   0.0  3.1   0:34.10 pcmanfm
 2246 pi        20   0 27404 8784 8028 S   0.0  0.9   0:00.09 lxpolkit
 2250 pi        20   0 44656 6684 5936 S   0.0  0.7   0:00.71 gvfs-gdu-volume
 2252 pi        20   0  8572 4324 4000 S   0.0  0.5   0:00.08 gvfsd
 2257 root      20   0 24356 5324 4716 S   0.0  0.6   0:00.38 udisks-daemon
 2258 root      20   0  6368 1740 1484 S   0.0  0.2   0:10.97 udisks-daemon
 2261 pi        20   0 20400 2912 2564 S   0.0  0.3   0:17.46 gvfs-afc-volume
 2264 pi        20   0  9096 4540 4100 S   0.0  0.5   0:00.05 gvfs-gphoto2-vo
 2269 pi        20   0 15000 5052 4568 S   0.0  0.5   0:06.83 menu-cached
 2272 pi        20   0 25672 5704 5232 S   0.0  0.6   0:00.20 gvfsd-trash
 2277 root      20   0     0    0    0 S   0.0  0.0   0:00.00 jbd2/mmcblk0p5-
 2278 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 ext4-rsv-conver
 2283 root      20   0     0    0    0 S   0.0  0.0   0:00.00 jbd2/mmcblk0p3-
 2284 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 ext4-rsv-conver
 2286 pi        20   0  150m  20m  17m S   0.0  2.2   5:35.64 lxterminal
 2287 pi        20   0  2072 1420 1292 S   0.0  0.1   0:00.01 gnome-pty-helpe
 2288 pi        20   0  6016 4348 2740 S   0.0  0.5   0:01.33 bash
 2353 root      20   0  4928 3516 1796 S   0.0  0.4   0:00.21 dhclient
 2398 root      20   0  6248 2956 2528 S   0.0  0.3   0:00.00 sshd
 2600 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/2:1H
 2617 pi        20   0  6020 4524 2912 S   0.0  0.5   0:07.93 bash
 2649 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/3:1H
 2692 pi        20   0  8152 5240 4872 S   0.0  0.6   0:00.05 gvfsd-metadata
 3233 root      20   0     0    0    0 S   0.0  0.0   0:00.59 kworker/u8:0
 3970 root      20   0     0    0    0 S   0.0  0.0   0:00.00 scsi_eh_2
 3971 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 scsi_tmf_2
 3972 root      20   0     0    0    0 S   0.0  0.0   0:00.26 usb-storage
 3974 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/u8:1
 3976 root      20   0  2912 1924 1380 S   0.0  0.2   0:00.00 udevd
 3977 root      20   0  2912 1888 1344 S   0.0  0.2   0:00.00 udevd
 4019 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/2:0
 4122 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/3:1
 4185 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/0:1
 4236 pi        20   0  9048 6408 4056 S   0.0  0.7   0:00.61 lab1.py
 4597 pi        20   0  1788  360  308 S   0.0  0.0   0:00.00 sh
19210 pi        20   0 48712 8924 7784 S   0.0  0.9   0:10.00 gvfsd-http
27163 root      20   0     0    0    0 S   0.0  0.0   0:02.52 kworker/0:0
28825 pi        20   0  6016 4452 2844 S   0.0  0.5   0:00.87 bash
32649 root      20   0     0    0    0 S   0.0  0.0   0:07.99 kworker/3:2
